Mailing ID,MailingRefCode,URL Text,Date,Month,Day of Week,Time,Unique Click,Gross Clicks,CTR,CTOR
5653372,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/8/2009,September,Tuesday,6:00 PM,69,86,0.102766326103842%,1.00174723354688%
5654366,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/9/2009,September,Wednesday,7:43 AM,6,6,0.125628140703518%,1.19047619047619%
5654923,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/9/2009,September,Wednesday,10:58 AM,70,82,0.11279540014856%,1.52985074626866%
5655138,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/9/2009,September,Wednesday,2:00 PM,4,4,0.0152462265589267%,0.0638060296698038%
5655143,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/9/2009,September,Wednesday,4:00 PM,7,7,0.172541286665023%,2.08333333333333%
5655153,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/9/2009,September,Wednesday,8:00 PM,85,101,0.140502190999513%,2.07179487179487%
5655480,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,9:07 AM,2,5,1.02249488752556%,12.5%
5655481,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,9:10 AM,1,1,0.211864406779661%,2.85714285714286%
5655490,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,11:00 AM,91,99,0.137990633363069%,1.89837008628955%
5655491,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,11:07 AM,2,3,0.609756097560976%,6.66666666666667%
5655493,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,11:19 AM,2,2,0.421052631578947%,4.25531914893617%
5655702,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,1:00 PM,49,57,0.0858770000301323%,1.32097334878331%
5655706,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,1:35 PM,6,7,0.0563289611330168%,0.311804008908686%
5655709,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,3:00 PM,46,54,0.0835318503851746%,1.55395683453237%
5655722,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/10/2009,September,Thursday,7:00 PM,6,7,0.207715133531157%,3.18181818181818%
5655767,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,12:00 AM,1,1,0.0249252243270189%,0.29585798816568%
5655772,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,2:00 AM,65,69,0.103139013452915%,1.31128848346636%
5656037,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,11:37 AM,1,1,0.235849056603774%,1.19047619047619%
5656039,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,12:10 PM,2,2,0.211416490486258%,0.975609756097561%
